,City,lat,Lng,Max Temp (F),Humidity,Cloudiness,Wind Speed,County,Date
384,kainantu,-6.29,145.87,59.76,94,100,1.59,PG,1593984561
385,basoko,1.24,23.62,74.41,82,100,2.13,CD,1593984561
386,puerto escondido,15.85,-97.07,86.0,66,75,10.29,MX,1593984266
387,sitka,57.05,-135.33,57.2,76,90,6.93,US,1593984320
388,lichinga,-13.31,35.24,52.12,73,1,6.93,MZ,1593984561
389,tautira,-17.73,-149.15,84.2,62,20,12.75,PF,1593984562
390,helong,42.54,129.0,61.3,86,23,2.8,CN,1593984515
391,grand gaube,-20.01,57.66,71.01,88,55,5.99,MU,1593984562
392,beringovskiy,63.05,179.32,44.64,92,96,14.63,RU,1593984562
393,guerrero negro,27.98,-114.06,81.01,46,0,18.81,MX,1593984562
394,ferme-neuve,46.7,-75.45,75.07,46,22,6.8,CA,1593984562
395,konstantinovka,49.62,127.98,58.64,89,100,4.92,RU,1593984562
396,emet,39.34,29.26,68.68,55,48,4.99,TR,1593984562
397,cap malheureux,-19.98,57.61,71.01,88,45,5.99,MU,1593984563
398,digby,44.62,-65.77,61.0,81,93,8.99,CA,1593984563
399,edgewater,28.99,-80.9,73.4,94,90,5.82,US,1593984563
400,singarayakonda,15.25,80.03,83.17,72,100,13.0,IN,1593984563
401,chancay,-11.57,-77.27,62.6,77,90,10.29,PE,1593984563
402,rome,34.26,-85.16,93.99,41,20,9.17,US,1593984524
403,tamiahua,21.27,-97.45,87.53,66,30,11.65,MX,1593984563
404,vilcun,-38.65,-72.23,48.2,76,20,5.82,CL,1593984563
405,borgarnes,64.54,-21.92,60.8,55,0,6.93,IS,1593984563
406,bhadasar,28.28,74.32,90.68,49,46,9.33,IN,1593984563
407,whitianga,-36.83,175.7,55.99,96,33,4.0,NZ,1593984564
408,am timan,11.03,20.28,73.76,88,100,2.19,TD,1593984564
409,guerrero,17.67,-100.0,77.38,72,79,1.61,MX,1593984564
410,zapolyarnyy,69.42,30.81,48.2,93,90,6.93,RU,1593984564
411,nagar,27.43,77.1,94.53,41,95,1.14,IN,1593984564
412,rimoc,48.04,19.53,68.0,79,0,1.79,HU,1593984564
413,sao gabriel da cachoeira,-0.13,-67.09,77.07,93,90,1.14,BR,1593984564
414,plainview,40.78,-73.47,91.0,55,1,10.29,US,1593984564
415,fort nelson,58.81,-122.7,73.4,38,20,6.93,CA,1593984282
416,eldorado,-23.79,-54.28,67.84,75,85,4.85,BR,1593984564
417,ferkessedougou,9.6,-5.2,73.65,90,98,3.62,CI,1593984565
418,maragogi,-9.01,-35.22,76.8,86,40,12.77,BR,1593984565
419,kahului,20.89,-156.47,91.4,43,40,18.34,US,1593984291
420,canavieiras,-15.68,-38.95,72.48,89,43,3.78,BR,1593984565
421,maniitsoq,65.42,-52.9,40.15,93,100,15.12,GL,1593984565
422,poshekhonye,58.5,39.14,62.19,87,0,4.7,RU,1593984565
423,nichinan,31.6,131.37,75.2,100,75,9.17,JP,1593984565
424,tilichiki,60.47,166.1,47.73,88,92,6.4,RU,1593984565
425,mareeba,-17.0,145.43,68.0,68,90,16.11,AU,1593984565
426,kamphaeng phet,16.48,99.52,75.63,89,72,2.08,TH,1593984566
427,reconquista,-29.15,-59.65,58.08,76,98,11.92,AR,1593984430
428,gawler,-34.6,138.73,48.0,84,35,4.38,AU,1593984566
429,filadelfia,39.95,-75.16,98.01,32,75,5.82,US,1593984333
430,sakakah,29.97,40.21,86.0,10,0,4.7,SA,1593984566
431,lagos,6.58,3.75,78.8,88,20,3.36,NG,1593984313
432,peniche,39.36,-9.38,66.99,88,0,8.99,PT,1593984566
433,ambulu,-8.35,113.61,73.71,89,98,3.49,ID,1593984566
434,lehre,52.33,10.67,66.0,78,13,10.69,DE,1593984567
435,hailey,43.52,-114.32,78.8,27,40,11.41,US,1593984567
436,bathsheba,13.22,-59.52,84.2,74,40,21.92,BB,1593984567
437,sao miguel do araguaia,-13.28,-50.16,79.88,41,0,2.39,BR,1593984567
438,tshikapa,-6.42,20.8,71.91,32,0,2.55,CD,1593984567
439,kita,13.03,-9.49,78.8,79,98,6.35,ML,1593984567
440,severnoye,56.35,78.36,57.43,95,100,5.68,RU,1593984567
441,fairbanks,64.84,-147.72,73.0,37,1,9.17,US,1593984462
442,kearney,40.7,-99.08,84.2,51,20,3.36,US,1593984567
443,san fernando,15.03,120.69,79.0,95,100,2.21,PH,1593984567
444,delmas,-26.15,28.68,50.0,34,0,4.7,ZA,1593984568
445,copiapo,-27.37,-70.33,60.8,63,85,14.99,CL,1593984568
446,magadi,12.97,77.23,71.6,100,40,12.75,IN,1593984568
447,gravdal,68.12,13.5,50.59,74,6,15.68,NO,1593984568
448,aleksandrovskiy zavod,50.92,117.94,51.01,70,22,6.11,RU,1593984568
449,la ronge,55.1,-105.28,66.2,88,75,4.7,CA,1593984568
450,pangnirtung,66.15,-65.71,44.6,93,90,9.17,CA,1593984568
451,nouadhibou,20.93,-17.03,69.8,83,22,23.04,MR,1593984569
452,homer,59.64,-151.55,64.4,68,1,9.17,US,1593984496
453,tyukhtet,56.54,89.3,59.0,94,58,0.43,RU,1593984569
454,severo-kurilsk,50.68,156.12,51.49,84,8,2.73,RU,1593984569
455,bay roberts,47.6,-53.26,52.0,38,67,8.08,CA,1593984569
456,tobane,-21.95,27.9,53.35,41,0,2.26,BW,1593984569
457,haines junction,60.75,-137.51,70.27,34,62,9.04,CA,1593984569
458,sirnak,37.52,42.46,72.07,38,1,7.07,TR,1593984569
459,darhan,49.49,105.92,62.46,72,40,3.74,MN,1593984569
460,chunskiy,56.08,99.63,58.69,60,1,2.53,RU,1593984569
461,paducah,37.08,-88.6,89.6,52,40,3.36,US,1593984570
462,alihe,50.57,123.72,56.17,83,99,3.6,CN,1593984570
463,freeport,40.66,-73.58,91.0,55,1,10.29,US,1593984273
464,luderitz,-26.65,15.16,66.2,20,0,6.93,NA,1593984570
465,perevoz,55.6,44.54,66.69,86,100,11.01,RU,1593984570
466,alofi,-19.06,-169.92,77.0,83,28,12.75,NU,1593984570
467,zeya,53.75,127.27,56.86,65,1,3.8,RU,1593984570
468,bogorodskoye,56.55,37.88,61.65,93,3,5.91,RU,1593984570
469,porto velho,-8.76,-63.9,87.8,58,40,4.7,BR,1593984339
470,manjeri,11.12,76.12,78.8,83,75,5.82,IN,1593984570
471,vihari,30.03,72.35,98.55,22,100,13.47,PK,1593984571
472,san quintin,30.48,-115.95,78.37,48,0,16.24,MX,1593984571
473,vestmannaeyjar,63.44,-20.27,53.69,80,0,7.61,IS,1593984571
474,atasu,48.68,71.64,60.98,75,26,6.42,KZ,1593984571
475,buraydah,26.33,43.98,91.4,22,27,5.82,SA,1593984571
476,bushehr,28.97,50.84,90.81,43,0,4.99,IR,1593984571
477,bairiki,1.33,172.98,86.0,74,20,10.29,KI,1593984571
478,constitucion,-35.33,-72.42,51.69,80,99,8.37,CL,1593984571
479,tual,-5.67,132.75,79.5,82,75,22.17,ID,1593984571
480,luanda,-8.84,13.23,71.6,83,4,5.82,AO,1593984421
481,anderson,34.53,-82.65,91.99,38,1,8.05,US,1593984407
482,senneterre,48.38,-77.23,77.0,38,40,10.29,CA,1593984572
483,baglan,36.13,68.71,74.14,21,0,1.45,AF,1593984572
484,ilo,-17.64,-71.34,62.13,73,32,8.59,PE,1593984572
485,formosa do rio preto,-11.05,-45.19,76.21,45,0,4.0,BR,1593984572
486,malinyi,-8.93,36.13,71.19,57,87,1.83,TZ,1593984572
487,caravelas,-17.71,-39.25,71.96,80,0,8.46,BR,1593984572
488,dukat,62.55,155.55,50.58,65,95,6.98,RU,1593984572
489,atambua,-9.11,124.89,68.34,85,47,6.15,ID,1593984572
490,laguna,38.42,-121.42,98.01,18,1,5.82,US,1593984572
491,marshfield,44.67,-90.17,89.6,49,1,4.29,US,1593984411
492,nanakuli,21.39,-158.15,84.2,66,1,10.29,US,1593984330
493,usinsk,65.99,57.53,57.04,87,10,3.67,RU,1593984573
494,omsukchan,62.53,155.8,52.57,65,100,1.81,RU,1593984573
495,shasta lake,40.68,-122.37,99.0,13,0,1.01,US,1593984314
496,kailua,21.4,-157.74,84.2,66,40,11.41,US,1593984573
497,shakawe,-18.37,21.85,53.67,39,0,5.93,BW,1593984573
498,bontang,0.13,117.5,76.26,88,64,5.5,ID,1593984573
499,pritzwalk,53.15,12.17,66.0,89,6,1.99,DE,1593984573
500,itarema,-2.92,-39.92,79.38,76,0,12.97,BR,1593984573
501,manakara,-22.13,48.02,63.01,93,10,4.63,MG,1593984574
502,sal rei,16.18,-22.92,77.0,78,75,10.29,CV,1593984574
503,port macquarie,-31.43,152.92,42.01,93,0,8.25,AU,1593984574
504,fukue,32.69,128.84,76.71,91,100,20.4,JP,1593984574
505,yeniseysk,58.45,92.17,61.07,96,36,3.0,RU,1593984574
506,puerto ayacucho,5.66,-67.62,89.6,52,40,8.05,VE,1593984574
507,baherden,38.44,57.43,83.32,20,0,1.54,TM,1593984574
508,timbo,-26.82,-49.27,68.0,1,60,1.54,BR,1593984574
509,aksu,41.12,80.26,71.46,34,66,9.8,CN,1593984574
510,ust-nera,64.57,143.2,58.3,51,100,3.6,RU,1593984575
511,andros town,24.7,-77.77,84.2,79,75,2.24,BS,1593984310
512,tapes,-30.67,-51.4,61.0,93,98,8.46,BR,1593984575
513,chiang klang,19.29,100.86,74.62,88,100,1.52,TH,1593984575
514,najran,17.49,44.13,89.6,18,75,4.7,SA,1593984575
515,peruibe,-24.32,-47.0,71.17,74,0,5.41,BR,1593984575
516,smithers,54.78,-127.17,60.8,63,90,2.24,CA,1593984575
517,bacolod,10.67,122.95,77.14,82,0,2.51,PH,1593984575
518,preobrazheniye,42.9,133.91,61.81,91,44,5.39,RU,1593984575
519,mocuba,-16.84,36.99,58.6,91,0,1.28,MZ,1593984575
520,norwalk,33.9,-118.08,95.0,29,1,6.93,US,1593984576
521,sisimiut,66.94,-53.67,46.4,70,100,11.36,GL,1593984576
522,maltahohe,-24.83,16.98,53.01,37,0,6.58,NA,1593984576
523,vila franca do campo,37.72,-25.43,69.8,83,40,9.17,PT,1593984576
524,nizhniy ingash,56.2,96.53,60.48,95,4,3.4,RU,1593984576
525,terrace,54.52,-128.6,60.8,72,90,2.24,CA,1593984330
526,farmington,36.73,-108.22,96.8,8,1,17.22,US,1593984576
527,nelson bay,-32.72,152.15,45.0,87,42,11.41,AU,1593984576
528,gushikawa,26.35,127.87,82.4,88,40,14.99,JP,1593984577
529,gorontalo,0.54,123.06,73.83,88,73,2.06,ID,1593984577
530,port keats,-14.25,129.55,64.22,57,0,11.48,AU,1593984577
531,tomatlan,19.93,-105.25,90.79,54,79,9.08,MX,1593984577
532,svetlogorsk,52.63,29.73,64.29,88,0,4.83,BY,1593984577
533,kigali,-1.95,30.06,69.8,60,40,4.7,RW,1593984473
534,altamont,42.21,-121.74,80.01,20,1,10.29,US,1593984577
535,ugoofaaru,5.67,73.0,83.12,74,100,8.16,MV,1593984577
536,brae,60.4,-1.35,51.8,87,86,18.34,GB,1593984577
537,kupang,-10.17,123.58,75.2,78,20,12.75,ID,1593984492
538,morehead,37.27,-87.18,91.0,58,1,4.7,US,1593984578
539,khash,28.22,61.22,69.46,23,3,2.53,IR,1593984578
540,labuhan,-6.88,112.21,75.72,88,85,7.99,ID,1593984578
