,City,lat,Lng,Max Temp (F),Humidity,Cloudiness,Wind Speed,County,Date
87,matveyev kurgan,47.56,38.87,77.32,41,0,3.18,RU,1593984528
88,rundu,-17.93,19.77,57.2,30,0,3.36,NA,1593984528
89,qaqortoq,60.72,-46.03,50.0,61,75,9.17,GL,1593984528
90,coquimbo,-29.95,-71.34,57.2,76,92,10.29,CL,1593984528
91,sistranda,63.73,8.83,55.4,66,90,20.8,NO,1593984528
92,codrington,-38.27,141.97,49.84,90,72,6.2,AU,1593984529
93,lamu,-2.27,40.9,77.36,77,65,21.25,KE,1593984529
94,saskylakh,71.92,114.08,42.53,76,100,12.1,RU,1593984529
95,husavik,66.04,-17.34,44.6,75,40,13.87,IS,1593984529
96,lavrentiya,65.58,-171.0,48.04,84,100,6.17,RU,1593984529
97,deputatskiy,69.3,139.9,49.59,59,100,4.21,RU,1593984529
98,cherskiy,68.75,161.3,61.41,58,64,7.29,RU,1593984529
99,san patricio,19.22,-104.7,89.6,75,40,11.41,MX,1593984529
100,aklavik,68.22,-135.01,42.8,93,90,9.17,CA,1593984529
101,hamilton,39.18,-84.53,93.99,41,1,3.36,US,1593984530
102,dikson,73.51,80.55,50.99,66,100,16.67,RU,1593984530
103,ponta do sol,32.67,-17.1,66.99,61,1,5.21,PT,1593984530
104,denizli,37.84,29.07,77.0,44,75,4.7,TR,1593984530
105,kinkala,-4.36,14.76,75.2,83,31,4.7,CG,1593984530
106,geraldton,-28.77,114.6,62.6,67,40,12.75,AU,1593984530
107,sorland,67.67,12.69,51.19,77,1,20.98,NO,1593984530
108,havelock,34.88,-76.9,82.0,69,1,3.36,US,1593984530
109,west wendover,40.74,-114.07,91.4,10,1,6.93,US,1593984339
110,willowmore,-33.29,23.49,45.81,55,66,2.73,ZA,1593984531
111,taunggyi,20.78,97.03,63.34,100,100,3.94,MM,1593984531
112,gavle,60.67,17.14,57.99,82,8,5.99,SE,1593984479
113,nome,64.5,-165.41,57.2,93,90,11.41,US,1593984328
114,chokurdakh,70.63,147.92,39.34,91,100,12.88,RU,1593984531
115,sao jose da coroa grande,-8.9,-35.15,77.14,85,24,13.62,BR,1593984531
116,komsomolskiy,40.43,71.72,71.6,40,34,2.24,UZ,1593984531
117,oneonta,42.45,-75.06,84.0,57,55,1.01,US,1593984505
118,butaritari,3.07,172.79,82.76,77,0,12.66,KI,1593984531
119,ashtabula,41.7,-80.77,86.0,51,1,4.7,US,1593984465
120,chuy,-33.7,-53.46,51.35,84,98,9.17,UY,1593984532
121,thompson,55.74,-97.86,80.6,54,75,9.17,CA,1593984516
122,boyolangu,-8.12,111.89,73.89,90,93,3.87,ID,1593984532
123,samsun,41.25,36.33,71.6,94,40,5.26,TR,1593984532
124,mahebourg,-20.41,57.7,71.6,94,75,3.36,MU,1593984532
125,vao,-22.67,167.48,68.67,62,60,14.07,NC,1593984532
126,dolinsk,47.35,142.8,62.6,82,100,8.95,RU,1593984532
127,xichang,27.9,102.26,66.88,79,95,1.7,CN,1593984532
128,auki,-8.77,160.7,79.95,80,76,3.31,SB,1593984532
129,kurchum,48.57,83.65,60.78,61,55,4.05,KZ,1593984532
130,avera,33.19,-82.53,93.2,36,1,10.29,US,1593984533
131,grand-lahou,5.14,-5.02,76.15,85,10,9.86,CI,1593984533
132,namibe,-15.2,12.15,70.0,73,1,6.02,AO,1593984533
133,mount gambier,-37.83,140.77,48.2,93,90,5.82,AU,1593984533
134,alice town,25.72,-79.3,85.64,67,100,9.73,BS,1593984533
135,kapaa,22.08,-159.32,82.4,74,20,10.29,US,1593984413
136,saint-philippe,-21.36,55.77,69.8,77,75,5.82,RE,1593984533
137,bambous virieux,-20.34,57.76,71.6,94,75,3.36,MU,1593984534
138,neuquen,-38.95,-68.06,44.6,75,25,2.24,AR,1593984534
139,san luis,-33.3,-66.34,50.34,48,30,9.37,AR,1593984534
140,souillac,-20.52,57.52,71.6,94,75,3.36,MU,1593984534
141,tuatapere,-46.13,167.68,47.17,90,100,4.74,NZ,1593984534
142,erattupetta,9.7,76.78,77.0,88,75,4.7,IN,1593984534
143,sabha,27.04,14.43,90.21,18,0,10.27,LY,1593984534
144,mumbwa,-14.98,27.06,50.95,63,7,4.83,ZM,1593984534
145,upernavik,72.79,-56.15,42.53,83,100,10.85,GL,1593984534
146,hami,42.8,93.45,82.78,20,100,20.49,CN,1593984535
147,marsa matruh,31.35,27.25,75.2,83,40,6.93,EG,1593984535
148,egvekinot,66.32,-179.17,46.54,99,100,6.71,RU,1593984535
149,hasaki,35.73,140.83,75.2,100,75,9.17,JP,1593984535
150,cavalcante,-13.8,-47.46,71.85,47,0,5.41,BR,1593984535
151,jijiga,9.35,42.8,62.2,85,99,6.82,ET,1593984535
152,janakpur,26.72,85.91,83.88,77,1,10.27,NP,1593984535
